titulo;url;fecha_publicacion;fecha_cierre;estado;comentarios;entidad;sector;fecha_extraccion
“Por medio de la cual se derogan las Resoluciones No. 182 del 28 de julio de 2016 y 068 del 09 de febrero de 2022 y se reglamenta el Sistema de Coordinación Interinstitucional para la Unificación de Información Predial de los Territorios y Territorialidades Indígenas”;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=21165;2025-05-07;2025-05-13;Activa;0;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
IVC ASOCIACIONES CAMPESINAS Y AGROPECUARIAS;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20822;2025-04-09;2025-04-25;Cerrada;8;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
Área de Protección para la Producción de Alimentos (APPA) en el municipio de Nemocón de la Provincia de Sabana Centro ubicado en el departamento de Cundinamarca;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20646;2025-03-31;2025-04-30;Cerrada;10;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
APPA SOPÓ CUNDINAMARCA;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20589;2025-03-31;2025-04-30;Cerrada;56;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
Programa de apoyo directo a los productores, frente a las condiciones de oscilación anormal de los precios del arroz paddy verde durante el primer semestre de 2025”;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20602;2025-03-26;2025-04-01;Finalizada;10;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
LINEAMIENTOS PARA LA IMPLEMENTACIÓN DE LOS PLANES ANUALES DE GESTIÓN DE RIESGOS AGROPECUARIOS.;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20537;2025-03-20;2025-03-26;Finalizada;3;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
Programa Especial de Acceso a Tierras Integral para el pueblo étnico Rrom o Gitano;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20531;2025-03-20;2025-04-05;Finalizada;1;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
Régimen de libertad vigilada el arroz en todos los eslabones de la cadena productiva y se dictan otras disposiciones.;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20466;2025-03-11;2025-03-17;Finalizada;6;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
Programa especial de dotación de tierras y otros mecanismos de entrega de tierras en favor de víctimas y otros intervinientes en procesos de restitución de tierras sujetos de ordenamiento social de la propiedad rural;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20394;2025-02-28;2025-03-16;Cerrada;2;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
Por medio de la cual se realiza una transferencia de recursos a la Corporación Colombiana de Investigación Agropecuaria – Agrosavia– para la Vigencia 2025”;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20253;2025-02-13;2025-02-18;Finalizada;18;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
Zona de Protección para la Producción de Alimentos (ZPPA) en la provincia Sabana Centro del departamento de Cundinamarca;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20171;2025-01-31;2025-02-06;Finalizada;25;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
Labores de inspección, vigilancia y control sobre las asociaciones campesinas y las asociaciones agropecuarias nacionales y se dictan otras disposiciones.;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20167;2025-01-31;2025-02-06;Finalizada;3;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
Año Nacional de la Reforma Agraria y de la Agricultura Campesina, Familiar, Étnica y Comunitaria y se disponen medidas para su fortalecimiento.;https://www.sucop.gov.co/entidades/minagricultura/Normativa?IDNorma=20040;2025-01-13;2025-01-29;Finalizada;0;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
Ministerio de Agricultura y Desarrollo Rural Agenda 2025;https://www.sucop.gov.co/entidades/minagricultura/Agenda?IDAgenda=19964;2024-10-31;2024-12-01;Finalizada;2;Ministerio de Agricultura y Desarrollo Rural;Agropecuario;2025-05-08T01:38:20.588594
